Date,Open,High,Low,Close,Adj Close,Volume
2021-11-14,15.576687,15.576687,14.819251,14.942556,14.942556,11411102
2021-11-15,14.935594,16.578281,14.914721,16.358845,16.358845,20366226
2021-11-16,16.353031,22.297489,15.351044,15.929879,15.929879,40608700
2021-11-17,15.923194,17.197187,15.323931,15.650220,15.650220,22696074
2021-11-18,15.643770,15.992851,14.463810,14.496671,14.496671,28405752
2021-11-19,14.498448,15.537354,14.324839,15.300507,15.300507,25356663
2021-11-20,15.308099,15.503052,14.959714,15.184760,15.184760,12559421
2021-11-21,15.194869,15.591618,14.765361,15.404209,15.404209,18021922
2021-11-22,15.476548,15.543220,14.652895,14.687531,14.687531,23641517
2021-11-23,14.679382,14.829744,13.890914,14.126250,14.126250,15644140
2021-11-24,14.124952,14.141979,12.888137,13.903616,13.903616,15734317
2021-11-25,13.000363,13.381268,12.812690,12.946644,12.946644,15328427
2021-11-26,13.038608,13.038608,11.377636,11.459443,11.459443,23761811
2021-11-27,11.472025,11.689344,11.335439,11.375815,11.375815,9790686
2021-11-28,11.389464,11.896713,10.720966,11.896713,11.896713,23290388
2021-11-29,11.898508,12.527864,11.868062,12.242410,12.242410,12936212
2021-11-30,12.240412,12.724530,12.011153,12.615249,12.615249,17870102
2021-12-01,12.615112,13.333949,12.497035,12.936900,12.936900,20221744
2021-12-02,12.939269,13.450379,12.434349,13.118488,13.118488,30756756
2021-12-03,13.142684,13.240992,12.063060,12.073857,12.073857,25377170
2021-12-04,12.069835,12.135854,10.114333,10.553091,10.553091,55486382
2021-12-05,10.562984,10.596588,9.330511,9.642043,9.642043,28439555
2021-12-06,9.628323,9.678803,8.882787,9.528308,9.528308,22726409
2021-12-07,9.531908,9.764714,9.311572,9.323710,9.323710,9162437
2021-12-08,9.321778,9.335384,9.050999,9.246925,9.246925,8827136
2021-12-09,9.243057,9.302684,8.662992,8.714710,8.714710,6883281
2021-12-10,8.712975,8.741385,8.143807,8.147048,8.147048,3405271
2021-12-11,8.128153,8.200141,7.886222,7.965937,7.965937,3116999
2021-12-12,7.961962,7.999217,7.603661,7.728943,7.728943,2849452
2021-12-13,7.725826,7.765026,6.594225,6.704702,6.704702,5140872
2021-12-14,6.714455,6.805252,6.462265,6.666928,6.666928,12735776
2021-12-15,6.667791,6.815623,6.327167,6.731996,6.731996,14266573
2021-12-16,6.733642,6.790050,6.492586,6.508998,6.508998,12503406
2021-12-17,6.506155,6.581709,6.246437,6.298970,6.298970,9708645
2021-12-18,6.298684,6.314540,5.729344,5.731079,5.731079,11238077
2021-12-19,5.733764,5.739947,5.242126,5.286579,5.286579,7571951
2021-12-20,5.290285,5.290690,4.835829,4.870544,4.870544,6546373
2021-12-21,4.871069,4.966497,4.764496,4.964783,4.964783,4615529
2021-12-22,4.962711,5.178018,4.906039,5.066628,5.066628,6862315
2021-12-23,5.061285,5.285633,4.993937,5.268301,5.268301,6041425
2021-12-24,5.265302,5.347534,5.163173,5.264718,5.264718,7123101
2021-12-25,5.260809,5.312543,5.200305,5.228911,5.228911,2780294
2021-12-26,5.226608,5.334462,5.199650,5.312334,5.312334,4343506
2021-12-27,5.311374,5.592485,5.278127,5.544563,5.544563,5713502
2021-12-28,5.540880,5.551156,5.135603,5.148469,5.148469,3185227
2021-12-29,5.146514,5.168150,4.983386,4.992369,4.992369,4237053
2021-12-30,4.986307,5.013857,4.911841,4.965553,4.965553,1998478
2021-12-31,4.965324,5.398918,4.781989,4.781989,4.781989,5067621
2022-01-01,4.781989,4.939826,4.779597,4.939228,4.939228,1967089
2022-01-02,4.943473,4.974942,4.715813,4.799244,4.799244,4379866
2022-01-03,4.799254,4.808695,4.537350,4.631023,4.631023,2686468
2022-01-04,4.625252,4.637572,4.378177,4.435852,4.435852,4756278
2022-01-05,4.433010,4.581327,4.018097,4.030792,4.030792,5676336
2022-01-06,4.030824,4.077591,3.728263,3.812050,3.812050,7575586
2022-01-07,3.812056,3.849277,3.553397,3.592622,3.592622,7289944
2022-01-08,3.592578,3.704587,3.511608,3.564277,3.564277,5904378
2022-01-09,3.564198,3.568001,3.478613,3.499622,3.499622,3831753
2022-01-10,3.499594,3.522535,3.214747,3.336567,3.336567,5324025
2022-01-11,3.339353,3.444427,3.302383,3.397099,3.397099,3086553
2022-01-12,3.397097,3.718140,3.331532,3.613190,3.613190,3971841
2022-01-13,3.613126,3.715298,3.501697,3.564566,3.564566,4388328
2022-01-14,3.564672,3.584163,3.468860,3.506193,3.506193,3527278
2022-01-15,3.506518,3.555793,3.451145,3.530730,3.530730,1455856
2022-01-16,3.530669,3.595470,3.469609,3.481886,3.481886,1754113
2022-01-17,3.482125,3.488839,3.297952,3.430795,3.430795,5182406
2022-01-18,3.430711,3.481658,3.366444,3.451586,3.451586,2850937
2022-01-19,3.452030,3.509252,3.295109,3.403565,3.403565,2566046
2022-01-20,3.403386,3.562022,3.318438,3.318559,3.318559,3326975
2022-01-21,3.318635,3.318986,2.959514,3.042095,3.042095,9340856
2022-01-22,3.042088,3.042088,2.362427,2.383136,2.383136,12973811
2022-01-23,2.383171,2.605259,2.353976,2.591748,2.591748,8444685
2022-01-24,2.591694,2.970247,2.316657,2.372039,2.372039,16311687
2022-01-25,2.372072,2.720857,2.334669,2.660141,2.660141,3831652
2022-01-26,2.660647,2.767484,2.463462,2.470383,2.470383,1982518
2022-01-27,2.469892,2.481918,2.268863,2.275903,2.275903,146659
2022-01-28,2.277392,2.363500,2.241439,2.338192,2.338192,112202
2022-01-29,2.340541,2.646047,2.339919,2.630841,2.630841,124453
2022-01-30,2.631072,3.000426,2.615886,2.976992,2.976992,4337433
2022-01-31,2.977292,3.813505,2.900824,3.641201,3.641201,13096712
2022-02-01,3.641223,4.169553,3.593159,3.633957,3.633957,21166305
2022-02-02,3.630716,3.657270,3.275347,3.377614,3.377614,17358405
2022-02-03,3.368076,3.476316,3.318796,3.378626,3.378626,5503218
2022-02-04,3.378470,3.591495,3.332946,3.553469,3.553469,7727290
2022-02-05,3.553483,3.702961,3.551310,3.621475,3.621475,5505956
2022-02-06,3.614644,3.633302,3.549011,3.583951,3.583951,3476858
2022-02-07,3.585959,3.703799,3.565472,3.634959,3.634959,5165545
2022-02-08,3.628163,3.672048,3.434904,3.482714,3.482714,5318014
2022-02-09,3.481328,3.606390,3.340972,3.515751,3.515751,7968610
2022-02-10,3.528334,3.696965,3.393896,3.393927,3.393927,7312578
2022-02-11,3.392826,3.428468,3.085410,3.107952,3.107952,5184043
2022-02-12,3.106615,3.126166,2.986543,3.025771,3.025771,4084998
2022-02-13,3.025812,3.113154,3.008839,3.041851,3.041851,3040609
2022-02-14,3.041812,3.097197,2.991682,3.076918,3.076918,3211149
2022-02-15,3.076951,3.222240,3.067773,3.222232,3.222232,3274497
2022-02-16,3.222203,3.228058,3.108882,3.170308,3.170308,3077452
2022-02-17,3.171548,3.171548,2.937393,2.950416,2.950416,3440539
2022-02-18,2.950436,2.970599,2.854768,2.861117,2.861117,2715647
2022-02-19,2.861097,2.881577,2.824253,2.839424,2.839424,2166242
